year,film,wiki,winner
2010,The Kids Are All Right ,/wiki/The_Kids_Are_All_Right_(film),True
2010,Alice in Wonderland ,/wiki/Alice_in_Wonderland_(2010_film),False
2010,Burlesque ,/wiki/Burlesque_(2010_musical_film),False
2010,Red ,/wiki/Red_(2010_film),False
2010,The Tourist ,/wiki/The_Tourist_(2010_film),False
2011,The Artist ,/wiki/The_Artist_(film),True
2011,50/50 ,/wiki/50/50_(2011_film),False
2011,Bridesmaids ,/wiki/Bridesmaids_(2011_film),False
2011,Midnight in Paris,/wiki/Midnight_in_Paris,False
2011,My Week with Marilyn,/wiki/My_Week_with_Marilyn,False
2012,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(2012_film),True
2012,The Best Exotic Marigold Hotel,/wiki/The_Best_Exotic_Marigold_Hotel,False
2012,Moonrise Kingdom,/wiki/Moonrise_Kingdom,False
2012,Salmon Fishing in the Yemen,/wiki/Salmon_Fishing_in_the_Yemen,False
2012,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,False
2013,American Hustle,/wiki/American_Hustle,True
2013,Her ,/wiki/Her_(film),False
2013,Inside Llewyn Davis,/wiki/Inside_Llewyn_Davis,False
2013,Nebraska ,/wiki/Nebraska_(film),False
2013,The Wolf of Wall Street ,/wiki/The_Wolf_of_Wall_Street_(2013_film),False
2014,The Grand Budapest Hotel,/wiki/The_Grand_Budapest_Hotel,True
2014,Birdman ,/wiki/Birdman_(film),False
2014,Into the Woods ,/wiki/Into_the_Woods_(film),False
2014,Pride ,/wiki/Pride_(2014_film),False
2014,St. Vincent ,/wiki/St._Vincent_(film),False
2015,The Martian ,/wiki/The_Martian_(film),True
2015,The Big Short ,/wiki/The_Big_Short_(film),False
2015,Joy ,/wiki/Joy_(film),False
2015,Spy ,/wiki/Spy_(2015_film),False
2015,Trainwreck ,/wiki/Trainwreck_(film),False
2016,La La Land,/wiki/La_La_Land,True
2016,20th Century Women,/wiki/20th_Century_Women,False
2016,Deadpool ,/wiki/Deadpool_(film),False
2016,Florence Foster Jenkins ,/wiki/Florence_Foster_Jenkins_(film),False
2016,Sing Street,/wiki/Sing_Street,False
2017,Lady Bird ,/wiki/Lady_Bird_(film),True
2017,The Disaster Artist ,/wiki/The_Disaster_Artist_(film),True
2017,Get Out,/wiki/Get_Out,False
2017,The Greatest Showman,/wiki/The_Greatest_Showman,False
2017,"I, Tonya","/wiki/I,_Tonya",False
2018,Green Book ,/wiki/Green_Book_(film),True
2018,Crazy Rich Asians ,/wiki/Crazy_Rich_Asians_(film),False
2018,The Favourite,/wiki/The_Favourite,True
2018,Mary Poppins Returns,/wiki/Mary_Poppins_Returns,False
2018,Vice ,/wiki/Vice_(2018_film),False
2019,Once Upon a Time in Hollywood,/wiki/Once_Upon_a_Time_in_Hollywood,True
2019,Dolemite Is My Name,/wiki/Dolemite_Is_My_Name,False
2019,Jojo Rabbit,/wiki/Jojo_Rabbit,False
2019,Knives Out,/wiki/Knives_Out,True
2019,Rocketman ,/wiki/Rocketman_(film),False
2020,Borat Subsequent Moviefilm,/wiki/Borat_Subsequent_Moviefilm,True
2020,Hamilton ,/wiki/Hamilton_(2020_film),False
2020,Music ,/wiki/Music_(2021_film),False
2020,Palm Springs ,/wiki/Palm_Springs_(2020_film),False
2020,The Prom ,/wiki/The_Prom_(film),False
2021,West Side Story ,/wiki/West_Side_Story_(2021_film),True
2021,Cyrano ,/wiki/Cyrano_(film),False
2021,Don't Look Up,/wiki/Don%27t_Look_Up,False
2021,Licorice Pizza,/wiki/Licorice_Pizza,False
2021,"Tick, Tick... Boom! ","/wiki/Tick,_Tick..._Boom!_(film)",False
2022,The Banshees of Inisherin,/wiki/The_Banshees_of_Inisherin,True
2022,Babylon ,/wiki/Babylon_(2022_film),False
2022,Everything Everywhere All at Once,/wiki/Everything_Everywhere_All_at_Once,False
2022,Glass Onion: A Knives Out Mystery,/wiki/Glass_Onion:_A_Knives_Out_Mystery,False
2022,Triangle of Sadness,/wiki/Triangle_of_Sadness,False
