year,film,wiki,winner
2010,Inception,/wiki/Inception,False
2010,The King's Speech,/wiki/The_King%27s_Speech,False
2011,The Descendants,/wiki/The_Descendants,True
2011,The Help ,/wiki/The_Help_(film),False
2011,Hugo ,/wiki/Hugo_(film),False
2011,The Ides of March ,/wiki/The_Ides_of_March_(2011_film),False
2011,Moneyball ,/wiki/Moneyball_(film),False
2011,War Horse ,/wiki/War_Horse_(film),False
2012,Argo ,/wiki/Argo_(2012_film),True
2012,Django Unchained,/wiki/Django_Unchained,False
2012,Life of Pi ,/wiki/Life_of_Pi_(film),False
2012,Lincoln ,/wiki/Lincoln_(film),False
2012,Zero Dark Thirty,/wiki/Zero_Dark_Thirty,False
2013,12 Years a Slave ,/wiki/12_Years_a_Slave_(film),True
2013,Captain Phillips ,/wiki/Captain_Phillips_(film),False
2013,Gravity ,/wiki/Gravity_(2013_film),False
2013,Philomena ,/wiki/Philomena_(film),False
2013,Rush ,/wiki/Rush_(2013_film),False
2014,Boyhood ,/wiki/Boyhood_(2014_film),True
2014,Foxcatcher,/wiki/Foxcatcher,False
2014,The Imitation Game,/wiki/The_Imitation_Game,False
2014,Selma ,/wiki/Selma_(film),False
2014,The Theory of Everything ,/wiki/The_Theory_of_Everything_(2014_film),False
2015,The Revenant ,/wiki/The_Revenant_(2015_film),True
2015,Carol ,/wiki/Carol_(film),False
2015,Mad Max: Fury Road,/wiki/Mad_Max:_Fury_Road,False
2015,Room ,/wiki/Room_(2015_film),False
2015,Spotlight ,/wiki/Spotlight_(film),False
2016,Moonlight ,/wiki/Moonlight_(2016_film),True
2016,Hacksaw Ridge,/wiki/Hacksaw_Ridge,False
2016,Hell or High Water ,/wiki/Hell_or_High_Water_(2016_film),False
2016,Lion ,/wiki/Lion_(2016_film),False
2016,Manchester by the Sea ,/wiki/Manchester_by_the_Sea_(film),False
2017,"Three Billboards Outside Ebbing, Missouri","/wiki/Three_Billboards_Outside_Ebbing,_Missouri",True
2017,Call Me by Your Name ,/wiki/Call_Me_by_Your_Name_(film),False
2017,Dunkirk ,/wiki/Dunkirk_(2017_film),False
2017,The Post ,/wiki/The_Post_(film),False
2017,The Shape of Water,/wiki/The_Shape_of_Water,False
2018,Bohemian Rhapsody ,/wiki/Bohemian_Rhapsody_(film),True
2018,Black Panther ,/wiki/Black_Panther_(film),False
2018,BlacKkKlansman,/wiki/BlacKkKlansman,False
2018,If Beale Street Could Talk ,/wiki/If_Beale_Street_Could_Talk_(film),False
2018,A Star Is Born ,/wiki/A_Star_Is_Born_(2018_film),False
2019,1917 ,/wiki/1917_(2019_film),True
2019,The Irishman,/wiki/The_Irishman,False
2019,Joker ,/wiki/Joker_(2019_film),False
2019,Marriage Story,/wiki/Marriage_Story,False
2019,The Two Popes,/wiki/The_Two_Popes,False
"2020
",Nomadland ,/wiki/Nomadland_(film),True
"2020
",The Father ,/wiki/The_Father_(2020_film),False
"2020
",Mank,/wiki/Mank,False
"2020
",Promising Young Woman,/wiki/Promising_Young_Woman,False
"2020
",The Trial of the Chicago 7,/wiki/The_Trial_of_the_Chicago_7,False
"2021
",The Power of the Dog ,/wiki/The_Power_of_the_Dog_(film),True
"2021
",Belfast ,/wiki/Belfast_(film),False
"2021
",CODA ,/wiki/CODA_(2021_film),False
"2021
",Dune ,/wiki/Dune_(2021_film),False
"2021
",King Richard ,/wiki/King_Richard_(film),False
"2022
",The Fabelmans,/wiki/The_Fabelmans,True
"2022
",Avatar: The Way of Water,/wiki/Avatar:_The_Way_of_Water,False
"2022
",Elvis ,/wiki/Elvis_(2022_film),False
"2022
",Tár,/wiki/T%C3%A1r,False
"2022
",Top Gun: Maverick,/wiki/Top_Gun:_Maverick,False
