,year,film,wiki,winner,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western,nominations,Oscar_win,nom_gg_drama,winner_gg_drama,nom_gg_comedy,winner_gg_comedy,nom_pga,winner_pga,nom_bafta,winner_bafta,nom_dga,winner_dga,nom_sag,winner_sag
102,1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),False,8.0,162017.0,34691,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1941,Sergeant York ,/wiki/Sergeant_York_(film),False,7.7,19063.0,16364924,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1941,Suspicion ,/wiki/Suspicion_(1941_film),False,5.7,7271.0,269915,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1942,Kings Row,/wiki/Kings_Row,False,7.5,4692.0,49591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),False,7.6,25655.0,162360636,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),False,6.4,843.0,5546500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1943,Casablanca ,/wiki/Casablanca_(film),True,8.5,582415.0,4626532,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),False,6.9,22323.0,81640278,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.0,0,0,0,1,1,0,0,0,0,0,0,0,0
114,1978,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1978_film),False,6.9,22323.0,81640278,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.0,0,0,0,1,1,0,0,0,0,0,0,0,0
116,1943,Madame Curie ,/wiki/Madame_Curie_(film),False,7.2,3027.0,3515958,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1943,The More the Merrier,/wiki/The_More_the_Merrier,False,7.6,7067.0,247061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,False,8.0,24061.0,98201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),False,7.6,7301.0,4228034,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0
120,1944,Going My Way,/wiki/Going_My_Way,True,7.0,12561.0,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,1,1,0,0,0,0,0,0,0,0,0,0
121,1944,Double Indemnity,/wiki/Double_Indemnity,False,8.3,160383.0,14651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1944,Gaslight ,/wiki/Gaslight_(1944_film),False,7.4,23550.0,37591674,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1944,Wilson ,/wiki/Wilson_(1944_film),False,5.8,10851.0,848646,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,False,7.2,8704.0,21337978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),False,7.9,27228.0,10128,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,8.1,66826.0,23661347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1,1,1,0,0,0,0,0,0,0,0,0,0
