,year,film,wiki,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
69,1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,6.9,2164.0,"$727,639",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,1941,Citizen Kane,/wiki/Citizen_Kane,8.3,449408.0,"$1,645,944",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),7.9,12487.0,"$4,583",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),8.0,162017.0,"$34,691",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
73,1941,Sergeant York ,/wiki/Sergeant_York_(film),7.7,19063.0,"$16,364,924",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74,1941,Suspicion ,/wiki/Suspicion_(1941_film),5.7,7271.0,"$269,915",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
75,1942,Kings Row,/wiki/Kings_Row,7.5,4692.0,"$49,591",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),7.6,25655.0,"$162,360,636",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),6.4,843.0,"$5,546,500",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
78,1943,Casablanca ,/wiki/Casablanca_(film),8.5,582415.0,"$4,626,532",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
79,1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),6.9,22323.0,"$81,640,278",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
80,1943,Madame Curie ,/wiki/Madame_Curie_(film),7.2,3027.0,"$3,515,958",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
81,1943,The More the Merrier,/wiki/The_More_the_Merrier,7.6,7067.0,"$247,061",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,8.0,24061.0,"$98,201",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),7.6,7301.0,"$4,228,034",0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1944,Going My Way,/wiki/Going_My_Way,7.0,12561.0,"$2,221",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
