,year,film,wiki,winner,worldwide_box_office
290,1980,The Elephant Man ,/wiki/The_Elephant_Man_(film),False,"$26,023,860"
291,1980,Raging Bull,/wiki/Raging_Bull,False,"$23,403,912"
292,1980,Tess ,/wiki/Tess_(1979_film),False,"$20,101,247"
293,1981,Reds ,/wiki/Reds_(film),False,"$40,382,788"
294,1981,Raiders of the Lost Ark,/wiki/Raiders_of_the_Lost_Ark,False,"$389,925,971"
295,1981,Chariots of Fire,/wiki/Chariots_of_Fire,True,"$59,303,359"
296,1981,Atlantic City ,/wiki/Atlantic_City_(1980_film),False,"$12,729,675"
297,1981,On Golden Pond ,/wiki/On_Golden_Pond_(1981_film),False,"$119,285,432"
298,1982,Gandhi ,/wiki/Gandhi_(film),True,"$52,767,889"
299,1982,E.T. the Extra-Terrestrial,/wiki/E.T._the_Extra-Terrestrial,False,"$792,910,554"
300,1982,The Verdict,/wiki/The_Verdict,False,"$53,993,738"
301,1982,Missing ,/wiki/Missing_(1982_film),False,"$48,568,018"
302,1982,Tootsie,/wiki/Tootsie,False,"$177,200,271"
303,1983,The Dresser ,/wiki/The_Dresser_(1983_film),False,"$5,310,748"
304,1983,The Right Stuff ,/wiki/The_Right_Stuff_(film),False,"$21,192,315"
305,1983,Tender Mercies,/wiki/Tender_Mercies,False,"$8,443,124"
306,1983,Terms of Endearment,/wiki/Terms_of_Endearment,True,"$108,423,749"
307,1983,The Big Chill ,/wiki/The_Big_Chill_(film),False,"$56,399,659"
308,1984,Amadeus ,/wiki/Amadeus_(film),True,"$52,066,791"
309,1984,The Killing Fields ,/wiki/The_Killing_Fields_(film),False,"$34,700,291"
310,1984,A Passage to India ,/wiki/A_Passage_to_India_(film),False,"$27,201,487"
311,1984,Places in the Heart,/wiki/Places_in_the_Heart,False,"$34,901,614"
312,1984,A Soldier's Story,/wiki/A_Soldier%27s_Story,False,"$21,821,347"
313,1985,Kiss of the Spider Woman ,/wiki/Kiss_of_the_Spider_Woman_(film),False,"$17,009,654"
314,1985,Prizzi's Honor,/wiki/Prizzi%27s_Honor,False,"$26,657,534"
315,1985,The Color Purple ,/wiki/The_Color_Purple_(1985_film),False,N/A
316,1985,Out of Africa ,/wiki/Out_of_Africa_(film),True,"$227,514,205"
317,1985,Witness ,/wiki/Witness_(1985_film),False,"$68,706,993"
318,1986,Children of a Lesser God ,/wiki/Children_of_a_Lesser_God_(film),False,"$31,853,080"
319,1986,Hannah and Her Sisters,/wiki/Hannah_and_Her_Sisters,False,"$40,084,041"
320,1986,The Mission ,/wiki/The_Mission_(1986_film),False,"$17,502,499"
321,1986,A Room with a View ,/wiki/A_Room_with_a_View_(1985_film),False,"$21,041,453"
322,1986,Platoon ,/wiki/Platoon_(film),True,"$138,545,632"
323,1987,The Last Emperor,/wiki/The_Last_Emperor,True,"$43,993,869"
324,1987,Broadcast News ,/wiki/Broadcast_News_(film),False,"$67,331,309"
325,1987,Hope and Glory ,/wiki/Hope_and_Glory_(film),False,"$10,021,120"
326,1987,Moonstruck,/wiki/Moonstruck,False,"$80,642,217"
327,1987,Fatal Attraction,/wiki/Fatal_Attraction,False,"$320,145,693"
328,1988,Rain Man,/wiki/Rain_Man,True,"$354,825,435"
329,1988,Working Girl,/wiki/Working_Girl,False,"$102,953,112"
330,1988,The Accidental Tourist ,/wiki/The_Accidental_Tourist_(film),False,"$32,632,093"
331,1988,Dangerous Liaisons,/wiki/Dangerous_Liaisons,False,"$34,670,720"
332,1988,Mississippi Burning,/wiki/Mississippi_Burning,False,"$34,603,943"
