year,film,wiki,genres
1965,The Sound of Music ,/wiki/The_Sound_of_Music_(film),"biography,drama,family,musical,romance"
1965,Darling ,/wiki/Darling_(1965_film),"drama,thriller"
1965,Doctor Zhivago ,/wiki/Doctor_Zhivago_(film),"drama,romance,war"
1965,Ship of Fools ,/wiki/Ship_of_Fools_(film),comedy
1965,A Thousand Clowns,/wiki/A_Thousand_Clowns,"comedy,drama,romance"
1966,A Man for All Seasons ,/wiki/A_Man_for_All_Seasons_(1966_film),"biography,drama,history"
1966,Alfie ,/wiki/Alfie_(1966_film),"comedy,drama,romance"
1966,"The Russians Are Coming, the Russians Are Coming","/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming","comedy,crime"
1966,The Sand Pebbles ,/wiki/The_Sand_Pebbles_(film),"adventure,drama,romance,war"
1966,Who's Afraid of Virginia Woolf? ,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),drama
1967,In the Heat of the Night ,/wiki/In_the_Heat_of_the_Night_(film),"drama,mystery,thriller"
1967,Bonnie and Clyde ,/wiki/Bonnie_and_Clyde_(film),"action,biography,crime,drama"
1967,Doctor Dolittle ,/wiki/Doctor_Dolittle_(1967_film),"comedy,family,fantasy"
1967,The Graduate,/wiki/The_Graduate,"comedy,drama,romance"
1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,"adventure,drama,romance"
1968,Oliver! ,/wiki/Oliver!_(film),"drama,family,musical"
1968,Funny Girl ,/wiki/Funny_Girl_(film),"biography,comedy,drama,musical,romance"
1968,The Lion in Winter ,/wiki/The_Lion_in_Winter_(1968_film),"biography,drama,history"
1968,"Rachel, Rachel","/wiki/Rachel,_Rachel","drama,romance"
1968,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1968_film),"drama,romance"
1969,Midnight Cowboy,/wiki/Midnight_Cowboy,"comedy,family"
1969,Anne of the Thousand Days,/wiki/Anne_of_the_Thousand_Days,"biography,drama,history"
1969,Butch Cassidy and the Sundance Kid,/wiki/Butch_Cassidy_and_the_Sundance_Kid,"biography,crime,drama"
1969,"Hello, Dolly! ","/wiki/Hello,_Dolly!_(film)","adventure,comedy,musical,romance"
1969,Z ,/wiki/Z_(1969_film),"comedy,drama"
1970,Patton ,/wiki/Patton_(film),"biography,drama,war"
1970,Airport ,/wiki/Airport_(1970_film),"action,drama,thriller"
1970,Five Easy Pieces,/wiki/Five_Easy_Pieces,"crime,drama,mystery"
1970,Love Story ,/wiki/Love_Story_(1970_film),"drama,romance"
1970,M*A*S*H ,/wiki/M*A*S*H_(film),"comedy,drama,war"
1971,The French Connection ,/wiki/The_French_Connection_(film),"action,crime,drama,thriller"
1971,A Clockwork Orange ,/wiki/A_Clockwork_Orange_(film),"crime,sci-fi"
1971,Fiddler on the Roof ,/wiki/Fiddler_on_the_Roof_(film),"drama,family,musical,romance"
1971,The Last Picture Show,/wiki/The_Last_Picture_Show,"horror,short"
1971,Nicholas and Alexandra,/wiki/Nicholas_and_Alexandra,"biography,documentary,short"
1972,The Godfather,/wiki/The_Godfather,"crime,drama,mystery"
1972,Cabaret ,/wiki/Cabaret_(1972_film),"drama,music,musical,romance"
1972,Deliverance,/wiki/Deliverance,"action,crime,drama"
1972,The Emigrants ,/wiki/The_Emigrants_(film),"drama,history"
1972,Sounder ,/wiki/Sounder_(film),"action,comedy,crime"
1973,The Sting,/wiki/The_Sting,"comedy,crime,drama"
1973,American Graffiti,/wiki/American_Graffiti,"biography,documentary"
1973,Cries and Whispers,/wiki/Cries_and_Whispers,"comedy,drama,mystery"
1973,The Exorcist,/wiki/The_Exorcist,"drama,horror,mystery"
1973,A Touch of Class ,/wiki/A_Touch_of_Class_(film),"comedy,romance"
1974,The Godfather Part II,/wiki/The_Godfather_Part_II,"crime,drama"
1974,Chinatown ,/wiki/Chinatown_(1974_film),"drama,mystery,thriller"
1974,The Conversation,/wiki/The_Conversation,"drama,horror,short"
1974,Lenny ,/wiki/Lenny_(film),"biography,drama"
1974,The Towering Inferno,/wiki/The_Towering_Inferno,"action,drama,thriller"
1975,One Flew Over the Cuckoo's Nest ,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),drama
1975,Barry Lyndon,/wiki/Barry_Lyndon,"adventure,drama,war"
1975,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,"adventure,animation,comedy"
1975,Jaws ,/wiki/Jaws_(film),"adventure,mystery,thriller"
1975,Nashville ,/wiki/Nashville_(film),"comedy,drama,music"
1976,Rocky,/wiki/Rocky,"comedy,family,fantasy"
1976,All the President's Men ,/wiki/All_the_President%27s_Men_(film),"drama,history,thriller"
1976,Bound for Glory ,/wiki/Bound_for_Glory_(1976_film),"drama,history,war,western"
1976,Network ,/wiki/Network_(1976_film),drama
1976,Taxi Driver,/wiki/Taxi_Driver,"drama,fantasy,horror"
1977,Annie Hall,/wiki/Annie_Hall,"documentary,short"
1977,The Goodbye Girl,/wiki/The_Goodbye_Girl,"comedy,drama,romance"
1977,Julia ,/wiki/Julia_(1977_film),drama
1977,Star Wars ,/wiki/Star_Wars_(film),"action,adventure,fantasy,sci-fi"
1977,The Turning Point ,/wiki/The_Turning_Point_(1977_film),"drama,music,romance"
1978,The Deer Hunter,/wiki/The_Deer_Hunter,"comedy,drama,horror"
1978,Coming Home ,/wiki/Coming_Home_(1978_film),"drama,romance,war"
1978,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1978_film),"comedy,fantasy,romance,sport"
1978,Midnight Express ,/wiki/Midnight_Express_(film),"biography,crime,drama,thriller"
1978,An Unmarried Woman,/wiki/An_Unmarried_Woman,"comedy,drama,romance"
1979,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,"crime,drama,reality-tv"
1979,All That Jazz ,/wiki/All_That_Jazz_(film),"drama,music,musical"
1979,Apocalypse Now,/wiki/Apocalypse_Now,"drama,mystery,war"
1979,Breaking Away,/wiki/Breaking_Away,"crime,documentary,mystery"
1979,Norma Rae,/wiki/Norma_Rae,"action,crime,drama"
1980,Ordinary People,/wiki/Ordinary_People,"adventure,comedy,drama"
1980,Coal Miner's Daughter ,/wiki/Coal_Miner%27s_Daughter_(film),"biography,drama,music"
1980,The Elephant Man ,/wiki/The_Elephant_Man_(film),"biography,drama"
1980,Raging Bull,/wiki/Raging_Bull,"biography,drama,sport"
1980,Tess ,/wiki/Tess_(1979_film),"drama,romance"
1981,Chariots of Fire,/wiki/Chariots_of_Fire,"biography,drama,sport"
1981,Atlantic City ,/wiki/Atlantic_City_(1980_film),"crime,drama,romance"
1981,On Golden Pond ,/wiki/On_Golden_Pond_(1981_film),drama
1981,Raiders of the Lost Ark,/wiki/Raiders_of_the_Lost_Ark,"animation,comedy,short"
1981,Reds ,/wiki/Reds_(film),"biography,drama,history,romance"
1982,Gandhi ,/wiki/Gandhi_(film),"biography,drama,history"
1982,E.T. the Extra-Terrestrial,/wiki/E.T._the_Extra-Terrestrial,"adventure,family,sci-fi"
1982,Missing ,/wiki/Missing_(1982_film),"drama,mystery,thriller"
1982,Tootsie,/wiki/Tootsie,"comedy,drama,romance"
1982,The Verdict,/wiki/The_Verdict,"drama,romance,short"
1983,Terms of Endearment,/wiki/Terms_of_Endearment,"comedy,drama,mystery"
1983,The Big Chill ,/wiki/The_Big_Chill_(film),"comedy,drama"
1983,The Dresser ,/wiki/The_Dresser_(1983_film),drama
1983,The Right Stuff ,/wiki/The_Right_Stuff_(film),"adventure,biography,drama,history"
1983,Tender Mercies,/wiki/Tender_Mercies,"crime,drama"
1984,Amadeus ,/wiki/Amadeus_(film),"biography,drama,music"
1984,The Killing Fields ,/wiki/The_Killing_Fields_(film),"biography,drama,history,war"
1984,A Passage to India ,/wiki/A_Passage_to_India_(film),"adventure,drama,history"
1984,Places in the Heart,/wiki/Places_in_the_Heart,drama
1984,A Soldier's Story,/wiki/A_Soldier%27s_Story,"crime,drama,mystery"
1985,Out of Africa ,/wiki/Out_of_Africa_(film),"biography,drama,romance"
1985,The Color Purple ,/wiki/The_Color_Purple_(1985_film),"drama,musical"
1985,Kiss of the Spider Woman ,/wiki/Kiss_of_the_Spider_Woman_(film),drama
1985,Prizzi's Honor,/wiki/Prizzi%27s_Honor,"comedy,crime,drama"
1985,Witness ,/wiki/Witness_(1985_film),"drama,romance,thriller"
1986,Platoon ,/wiki/Platoon_(film),"drama,war"
1986,Children of a Lesser God ,/wiki/Children_of_a_Lesser_God_(film),"drama,romance"
1986,Hannah and Her Sisters,/wiki/Hannah_and_Her_Sisters,"comedy,drama"
1986,The Mission ,/wiki/The_Mission_(1986_film),"adventure,drama,history"
1986,A Room with a View ,/wiki/A_Room_with_a_View_(1985_film),"drama,romance"
1987,The Last Emperor,/wiki/The_Last_Emperor,"biography,drama,history"
1987,Broadcast News ,/wiki/Broadcast_News_(film),"comedy,drama,romance"
